Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.5228758169934641,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.43672014260249553,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.754320987654321,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.5336538461538461,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.45476190476190476,Taming of the Shrew (1591)
Richard III,1592,History,0.6114219114219114,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.19736842105263158,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.3241106719367589,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.4020337301587302,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.4885290148448043,Romeo and Juliet (1595)
Richard II,1595,History,0.6114219114219114,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.36,A Midsummer Nights Dream (1596)
King John,1596,History,0.49732620320855614,King John (1596)
Henry IV Part 1,1597,History,0.35585585585585583,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.3971774193548387,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.46153846153846156,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.43344155844155846,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.649795918367347,Julius Caesar (1599)
Henry V,1599,History,0.49696969696969695,Henry V (1599)
As You Like It,1600,Comedy,0.49333333333333335,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.3051948051948052,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.3619047619047619,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.40476190476190477,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.5645645645645646,Hamlet (1603)
Othello,1604,Tragedy,0.541005291005291,Othello (1604)
Measure for Measure,1604,Comedy,0.41935483870967744,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.5052910052910053,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.6780487804878049,King Lear (1605)
Timon of Athens,1606,Tragedy,0.6236119228521333,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.4816425120772947,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.5034246575342466,Antony and Cleopatra (1607)
Pericles,1608,NA,0.5457721872816212,Pericles (1608)
Coriolanus,1608,Tragedy,0.6742286751361162,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.6785206258890469,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.4865853658536585,Cymbeline (1610)
Tempest,1611,Comedy,0.3476190476190476,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.6091753774680604,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.4627949183303085,Henry VIII (1613)
