Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.16449088910197396,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.18369789153385585,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.12580765522448145,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.2469403072785746,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.21879353234138785,Taming of the Shrew (1591)
Richard III,1592,History,0.9324198855118405,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.3302289066331066,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.690600978194404,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.9035629819886528,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.9501515472794932,Romeo and Juliet (1595)
Richard II,1595,History,0.1924991891321923,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.42001458686982546,A Midsummer Nights Dream (1596)
King John,1596,History,0.27345384690627156,King John (1596)
Henry IV Part 1,1597,History,0.9047442516383842,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.1391949196729875,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.7289864279466942,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.8689577937467134,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.09308902443716177,Julius Caesar (1599)
Henry V,1599,History,0.12580765522448145,Henry V (1599)
As You Like It,1600,Comedy,0.2545331883202766,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.6824050431531032,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.7058491429181527,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.9420056508133711,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.15000218606521148,Hamlet (1603)
Othello,1604,Tragedy,0.2326986373383451,Othello (1604)
Measure for Measure,1604,Comedy,0.49309845267963875,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.2390950736360368,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.17924055859757387,King Lear (1605)
Timon of Athens,1606,Tragedy,0.08289359549156798,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.11344635972251649,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.0768125405602873,Antony and Cleopatra (1607)
Pericles,1608,NA,0.08053973622180027,Pericles (1608)
Coriolanus,1608,Tragedy,0.10790961209194443,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.18354631057976392,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.9090561960710372,Cymbeline (1610)
Tempest,1611,Comedy,0.27481021925420707,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.9494067569175457,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.9050860695556605,Henry VIII (1613)
