Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.7699253555126937,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.39239547717288864,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.09366548616621169,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.365731841423381,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.710220165856705,Taming of the Shrew (1591)
Richard III,1592,History,0.8803747692461188,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.3808683258067272,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.32295903138485327,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.9336020901754292,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.28690453245437914,Romeo and Juliet (1595)
Richard II,1595,History,0.8803747692461188,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.3822274015584445,A Midsummer Nights Dream (1596)
King John,1596,History,0.3170862220195782,King John (1596)
Henry IV Part 1,1597,History,0.9478969713414244,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.24487878692642803,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.3743207347736447,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.9268005948913871,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.27874483501354685,Julius Caesar (1599)
Henry V,1599,History,0.30441514574354217,Henry V (1599)
As You Like It,1600,Comedy,0.7578261744326394,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.2586417571624233,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.7656622057772107,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.4535052280248186,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.05938953861841744,Hamlet (1603)
Othello,1604,Tragedy,0.37240672076820114,Othello (1604)
Measure for Measure,1604,Comedy,0.26078939349683217,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.17968516143075122,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.23595093217705526,King Lear (1605)
Timon of Athens,1606,Tragedy,0.14258854157243214,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.13574245357469564,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.12658071808789453,Antony and Cleopatra (1607)
Pericles,1608,NA,0.2265091762756954,Pericles (1608)
Coriolanus,1608,Tragedy,0.15896986377795358,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.12788085842538646,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.8609253800462836,Cymbeline (1610)
Tempest,1611,Comedy,0.4363131058786791,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.14336783644530593,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.10106333174970074,Henry VIII (1613)
