Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.010052995051220147,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.00293274083710299,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.0023884909422781375,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.0031879688830543165,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.0026075467283584812,Taming of the Shrew (1591)
Richard III,1592,History,0.003231772333915189,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.0028384011290903278,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.0037359123704838733,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.002623919382761888,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.0036696833977497892,Romeo and Juliet (1595)
Richard II,1595,History,0.00398575322681731,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.004677311609169515,A Midsummer Nights Dream (1596)
King John,1596,History,0.004312875596608224,King John (1596)
Henry IV Part 1,1597,History,0.005916580647654581,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.005151495848716251,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.004982565236930901,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.004935317540065411,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.004057006480111144,Julius Caesar (1599)
Henry V,1599,History,0.0023884909422781375,Henry V (1599)
As You Like It,1600,Comedy,0.005859378979135729,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.003582677710520787,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.004175158228139667,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.003897592222061493,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.005212745551044725,Hamlet (1603)
Othello,1604,Tragedy,0.004382783937932786,Othello (1604)
Measure for Measure,1604,Comedy,0.005572351851315261,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.00499322902947624,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.003066616712208804,King Lear (1605)
Timon of Athens,1606,Tragedy,0.003660860937517243,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.004611060720521801,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.0025164772101467603,Antony and Cleopatra (1607)
Pericles,1608,NA,0.004727955280262422,Pericles (1608)
Coriolanus,1608,Tragedy,0.003025746067175695,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.0037587374564151516,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.0039292483847788075,Cymbeline (1610)
Tempest,1611,Comedy,0.004936527165033616,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.0034941269790830535,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.0036708064888915292,Henry VIII (1613)
