Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.008755614718743851,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.002305267851709239,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.0026003918223659037,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.0028676034730619367,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.0021781374847025924,Taming of the Shrew (1591)
Richard III,1592,History,0.0027297702046304357,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.0021520273202297073,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.003362715581138052,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.0024968571218971693,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.003644459686785753,Romeo and Juliet (1595)
Richard II,1595,History,0.0027297702046304357,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.0038895571531091183,A Midsummer Nights Dream (1596)
King John,1596,History,0.0031918188219932117,King John (1596)
Henry IV Part 1,1597,History,0.005478008444974191,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.0047815170567331935,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.004297994275427061,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.004207489186050285,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.0036422089258255027,Julius Caesar (1599)
Henry V,1599,History,0.00387839450117219,Henry V (1599)
As You Like It,1600,Comedy,0.0051252279809085284,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.002862221779673418,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.0031435888624065603,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.0033655654488045934,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.004852873933039331,Hamlet (1603)
Othello,1604,Tragedy,0.004321862676102179,Othello (1604)
Measure for Measure,1604,Comedy,0.003420727619047239,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.004999177535046213,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.003639777244588104,King Lear (1605)
Timon of Athens,1606,Tragedy,0.004322916007536311,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.004431280748862524,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.0027718566490589672,Antony and Cleopatra (1607)
Pericles,1608,NA,0.0045680594346263915,Pericles (1608)
Coriolanus,1608,Tragedy,0.0036075752136836494,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.005048754838759026,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.0036605328295680633,Cymbeline (1610)
Tempest,1611,Comedy,0.0034174406845484786,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.0037260863625718215,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.0033447171884878352,Henry VIII (1613)
