Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.276742476076355,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.28290575205701407,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.39538449719114527,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.449603698036919,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.49995422650377486,Taming of the Shrew (1591)
Richard III,1592,History,0.9366261458827568,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.5764935345069916,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.7017545692157574,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.9411365470697974,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.9494545350144239,Romeo and Juliet (1595)
Richard II,1595,History,0.4064486340325802,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.6005851068935508,A Midsummer Nights Dream (1596)
King John,1596,History,0.6029951482338549,King John (1596)
Henry IV Part 1,1597,History,0.9392592609785761,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.406270567393295,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.6966150557383521,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.9238779254308372,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.3444448753272346,Julius Caesar (1599)
Henry V,1599,History,0.39538449719114527,Henry V (1599)
As You Like It,1600,Comedy,0.286318385370991,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.6515595662917538,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.535282387224134,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.9306783881523846,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.2847834930309946,Hamlet (1603)
Othello,1604,Tragedy,0.4154283501099164,Othello (1604)
Measure for Measure,1604,Comedy,0.3510407236758533,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.49068945525678176,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.32909201157730955,King Lear (1605)
Timon of Athens,1606,Tragedy,0.4616351709918248,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.36732068129480355,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.317075122081852,Antony and Cleopatra (1607)
Pericles,1608,NA,0.28708331037684526,Pericles (1608)
Coriolanus,1608,Tragedy,0.4169839738718479,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.3503978443212831,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.865449508478441,Cymbeline (1610)
Tempest,1611,Comedy,0.45829592911327494,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.9482933241967094,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.9280096074542656,Henry VIII (1613)
