Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.5739663171828678,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.6227048060543912,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.302214738140203,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.44515590929569276,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.6872099314448755,Taming of the Shrew (1591)
Richard III,1592,History,0.9340293887569519,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.4274315356313466,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.44777473705817505,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.9328223740109602,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.48450983618313315,Romeo and Juliet (1595)
Richard II,1595,History,0.9340293887569519,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.44615039840400333,A Midsummer Nights Dream (1596)
King John,1596,History,0.5872121957213192,King John (1596)
Henry IV Part 1,1597,History,0.9107426506920168,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.43605019011436774,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.6437775907499294,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.9388590931409062,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.42185558345103374,Julius Caesar (1599)
Henry V,1599,History,0.5583775687562331,Henry V (1599)
As You Like It,1600,Comedy,0.7200123437099836,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.2841169823795073,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.7237860798640127,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.5755944601079587,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.2834177981280412,Hamlet (1603)
Othello,1604,Tragedy,0.5817976413279117,Othello (1604)
Measure for Measure,1604,Comedy,0.40750925694748796,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.3104425299672052,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.4474291300505741,King Lear (1605)
Timon of Athens,1606,Tragedy,0.42092500100825014,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.3598580421270266,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.41165395418064626,Antony and Cleopatra (1607)
Pericles,1608,NA,0.4134252520065796,Pericles (1608)
Coriolanus,1608,Tragedy,0.5465206103108549,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.335542488703195,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.858791263267837,Cymbeline (1610)
Tempest,1611,Comedy,0.6226260147888513,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.3959403631128729,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.32179003186869193,Henry VIII (1613)
