Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.3588310478532562,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.16701255827120823,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.10951189043248026,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.10520774003687756,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.23308733323143854,Taming of the Shrew (1591)
Richard III,1592,History,0.11856136082209516,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.15720233537537984,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.21130167125234997,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.0893195963026123,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.14839354812130293,Romeo and Juliet (1595)
Richard II,1595,History,0.10160918275935796,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.24422624824410852,A Midsummer Nights Dream (1596)
King John,1596,History,0.4938212912858596,King John (1596)
Henry IV Part 1,1597,History,0.20982470149731194,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.16461852466222407,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.31346858615757894,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.16684502681656915,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.10438471333156381,Julius Caesar (1599)
Henry V,1599,History,0.10951189043248026,Henry V (1599)
As You Like It,1600,Comedy,0.22189758030117293,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.18473653463230907,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.46997977817560627,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.19269483856023917,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.1758981201430713,Hamlet (1603)
Othello,1604,Tragedy,0.22156621319406591,Othello (1604)
Measure for Measure,1604,Comedy,0.2885207812392942,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.44017639816420945,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.10121564560504819,King Lear (1605)
Timon of Athens,1606,Tragedy,0.13456038448634675,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.19753626044104045,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.11059081827827749,Antony and Cleopatra (1607)
Pericles,1608,NA,0.13237156320553164,Pericles (1608)
Coriolanus,1608,Tragedy,0.1384303281776811,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.16549206610752074,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.1271875896769408,Cymbeline (1610)
Tempest,1611,Comedy,0.23402368000983806,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.18189413574385965,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.06484170099801884,Henry VIII (1613)
