Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.36762026774479417,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.5251050359183551,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.060211044176562034,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.27656830118482234,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.3738529453857735,Taming of the Shrew (1591)
Richard III,1592,History,0.15652817662049942,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.21399698834169867,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.37354705394207105,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.2413891001533193,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.22796659354091847,Romeo and Juliet (1595)
Richard II,1595,History,0.15652817662049942,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.381087719970713,A Midsummer Nights Dream (1596)
King John,1596,History,0.36118639188733853,King John (1596)
Henry IV Part 1,1597,History,0.2589403647647237,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.26578040350868654,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.43754679524845647,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.14106016055277448,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.2751668556712491,Julius Caesar (1599)
Henry V,1599,History,0.33810729722212407,Henry V (1599)
As You Like It,1600,Comedy,0.5739798144993163,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.26650948869843455,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.5812008651873325,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.3394231101085941,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.21456207443004766,Hamlet (1603)
Othello,1604,Tragedy,0.581730411515725,Othello (1604)
Measure for Measure,1604,Comedy,0.3530955239889708,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.13411639441245746,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.22318256904906061,King Lear (1605)
Timon of Athens,1606,Tragedy,0.22788575910199962,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.08565899715232826,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.029631423045007592,Antony and Cleopatra (1607)
Pericles,1608,NA,0.38845164860713727,Pericles (1608)
Coriolanus,1608,Tragedy,0.17113727115402733,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.3881160153524612,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.14786252467539956,Cymbeline (1610)
Tempest,1611,Comedy,0.4337773470878118,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.21603412982484638,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.07640599330665339,Henry VIII (1613)
