Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.371113699240313,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.2944308456387122,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.36505237251239575,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.29672034005086595,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.4421186943157047,Taming of the Shrew (1591)
Richard III,1592,History,0.3314191405540621,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.2934239268755875,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.3463104860428511,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.31023898058404237,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.27846337679299427,Romeo and Juliet (1595)
Richard II,1595,History,0.3653451805829813,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.5480351638416934,A Midsummer Nights Dream (1596)
King John,1596,History,0.649083570757695,King John (1596)
Henry IV Part 1,1597,History,0.5458612858278412,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.3657057443494332,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.4030809833251145,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.443029350138791,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.3181136207651376,Julius Caesar (1599)
Henry V,1599,History,0.36505237251239575,Henry V (1599)
As You Like It,1600,Comedy,0.3748425885826924,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.2767768018827293,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.576526124380968,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.4701415791559283,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.30219479224963525,Hamlet (1603)
Othello,1604,Tragedy,0.42137853768105576,Othello (1604)
Measure for Measure,1604,Comedy,0.4207410872123539,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.49565351327395585,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.36351205822362764,King Lear (1605)
Timon of Athens,1606,Tragedy,0.468248681580537,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.3734915741512564,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.29991857900113317,Antony and Cleopatra (1607)
Pericles,1608,NA,0.3490828221253084,Pericles (1608)
Coriolanus,1608,Tragedy,0.35498872303577494,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.3703140979037391,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.44634444914333976,Cymbeline (1610)
Tempest,1611,Comedy,0.4648567806646794,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.35466394380633415,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.34273419040384095,Henry VIII (1613)
