Title,Year,Genre,Score,UniqueTitle
Two Gentlemen of Verona,1588,Comedy,0.36621670944559015,Two Gentlemen of Verona (1588)
Titus Andronicus,1589,Tragedy,0.4808808102825188,Titus Andronicus (1589)
Henry VI Part 2,1590,History,0.35992870096783164,Henry VI Part 2 (1590)
Henry VI Part 3,1590,History,0.4574513224801182,Henry VI Part 3 (1590)
Taming of the Shrew,1591,Comedy,0.5772896586936884,Taming of the Shrew (1591)
Richard III,1592,History,0.33891162025975063,Richard III (1592)
Loves Labours Lost,1594,Comedy,0.4348469660017078,Loves Labours Lost (1594)
The Comedy of Errors,1594,Comedy,0.4744299589916877,The Comedy of Errors (1594)
Henry VI Part 1,1595,History,0.44782660226695525,Henry VI Part 1 (1595)
Romeo and Juliet,1595,Tragedy,0.34849481348531,Romeo and Juliet (1595)
Richard II,1595,History,0.33891162025975063,Richard II (1595)
A Midsummer Nights Dream,1596,Comedy,0.4408390664819992,A Midsummer Nights Dream (1596)
King John,1596,History,0.602775144657137,King John (1596)
Henry IV Part 1,1597,History,0.45082733292917393,Henry IV Part 1 (1597)
Merchant of Venice,1597,Comedy,0.43340828846834945,Merchant of Venice (1597)
Much Ado about Nothing,1598,Comedy,0.6426720025202389,Much Ado about Nothing (1598)
Henry IV Part 2,1598,History,0.5326378544845637,Henry IV Part 2 (1598)
Julius Caesar,1599,Tragedy,0.430898896387067,Julius Caesar (1599)
Henry V,1599,History,0.5587187471575585,Henry V (1599)
As You Like It,1600,Comedy,0.5303765267579524,As You Like It (1600)
Merry Wives of Windsor,1600,Comedy,0.3058128049940691,Merry Wives of Windsor (1600)
Twelfth Night,1601,Comedy,0.5643274115480049,Twelfth Night (1601)
Troilus and Cressida,1602,NA,0.631428903512513,Troilus and Cressida (1602)
Hamlet,1603,Tragedy,0.45066424562368335,Hamlet (1603)
Othello,1604,Tragedy,0.5766763418218352,Othello (1604)
Measure for Measure,1604,Comedy,0.5463211909625398,Measure for Measure (1604)
Alls Well That Ends Well,1605,Comedy,0.26241747658832587,Alls Well That Ends Well (1605)
King Lear,1605,Tragedy,0.4448773015811432,King Lear (1605)
Timon of Athens,1606,Tragedy,0.41558228684885845,Timon of Athens (1606)
Macbeth,1606,Tragedy,0.31822282184497264,Macbeth (1606)
Antony and Cleopatra,1607,Tragedy,0.2656179694411287,Antony and Cleopatra (1607)
Pericles,1608,NA,0.6297738402962836,Pericles (1608)
Coriolanus,1608,Tragedy,0.4888540152070195,Coriolanus (1608)
The Winters Tale,1609,Comedy,0.4528550856119721,The Winters Tale (1609)
Cymbeline,1610,Tragedy,0.5040913927813176,Cymbeline (1610)
Tempest,1611,Comedy,0.6069712862730937,Tempest (1611)
Two Noble Kinsmen,1613,NA,0.3998919456812658,Two Noble Kinsmen (1613)
Henry VIII,1613,History,0.35492077947061507,Henry VIII (1613)
